Date,Open,High,Low,Close,Adj Close,Volume
2020-04-30,28.309999,28.780001,27.850000,28.500000,28.027323,23935300
2020-05-04,27.370001,27.760000,26.990000,27.760000,27.299595,16586000
2020-05-05,28.020000,28.549999,27.559999,27.799999,27.338932,15799600
2020-05-06,27.959999,28.129999,26.750000,26.990000,26.542364,20312700
2020-05-07,27.440001,27.450001,26.070000,26.260000,25.824472,26405900
2020-05-08,27.100000,27.709999,26.799999,27.100000,26.650541,17576000
2020-05-11,26.900000,28.129999,26.799999,27.270000,26.817722,17332500
2020-05-12,27.440001,27.549999,26.260000,26.309999,25.873642,24140900
2020-05-13,26.650000,26.850000,25.230000,25.549999,25.126247,26406100
2020-05-14,25.000000,26.799999,24.750000,26.650000,26.208004,36194500
2020-05-15,26.500000,27.080000,25.840000,26.150000,25.716297,23436500
2020-05-18,27.129999,27.780001,26.650000,27.400000,26.945566,18756800
2020-05-19,27.260000,27.780001,26.660000,26.660000,26.217838,16726100
2020-05-20,27.000000,27.639999,26.770000,27.330000,26.876726,22799800
2020-05-21,27.639999,29.290001,27.480000,29.260000,28.774717,30519600
2020-05-22,28.860001,29.150000,27.910000,28.510000,28.037155,26947900
2020-05-25,30.000000,31.500000,29.799999,31.500000,30.977566,31886800
2020-05-26,32.500000,32.930000,30.230000,30.790001,30.279343,30820300
2020-05-27,31.629999,31.629999,30.500000,30.900000,30.387516,19310400
2020-05-28,30.610001,31.459999,30.209999,30.790001,30.279343,20732700
2020-05-29,30.500000,30.850000,29.750000,30.840000,30.328512,26926700
2020-06-01,30.770000,32.150002,30.559999,31.799999,31.272591,22043600
2020-06-02,32.599998,32.900002,32.279999,32.820000,32.275677,15772200
2020-06-03,34.470001,35.000000,33.840000,34.750000,34.173664,29497200
2020-06-04,34.430000,35.570000,33.520000,34.939999,34.360512,23947100
2020-06-05,37.410000,38.169998,35.009998,35.200001,34.616203,35546100
2020-06-08,35.820000,36.810001,35.500000,36.389999,35.786465,22264000
2020-06-09,35.540001,37.080002,35.119999,35.790001,35.196415,28728300
2020-06-10,36.360001,36.410000,34.209999,34.209999,33.642620,27346200
2020-06-12,33.000000,33.880001,32.810001,33.349998,32.796883,28959900
2020-06-15,32.000000,33.320000,31.700001,33.070000,32.521526,33572800
2020-06-16,34.500000,34.669998,33.099998,33.500000,32.944393,23341500
2020-06-17,33.439999,34.770000,33.360001,34.500000,33.927811,18945300
2020-06-18,34.180000,35.130001,33.799999,34.400002,33.829472,18913800
2020-06-19,34.900002,35.119999,33.900002,33.939999,33.377094,20326300
2020-06-22,34.209999,34.419998,33.000000,33.240002,32.688709,15139200
2020-06-23,33.799999,34.040001,33.099998,33.529999,32.973896,16289000
2020-06-24,33.340000,33.599998,31.910000,32.220001,31.685627,24448100
2020-06-25,32.340000,33.049999,32.080002,33.009998,32.462521,19013400
2020-06-26,32.650002,32.880001,31.820000,31.820000,31.292259,14806900
2020-06-29,32.169998,33.439999,31.940001,33.439999,32.885387,18321000
2020-06-30,33.209999,33.220001,32.020000,32.150002,31.616787,25268700
2020-07-01,32.419998,33.270000,32.180000,33.070000,32.521526,17012800
2020-07-02,33.630001,34.240002,33.000000,33.160000,32.610035,19976000
2020-07-03,33.119999,33.500000,32.680000,33.500000,32.944393,8194600
2020-07-06,34.360001,34.990002,34.070000,34.669998,34.094990,19120300
2020-07-07,34.299999,34.360001,33.279999,33.279999,32.728043,23168300
2020-07-08,33.709999,34.200001,33.520000,34.090000,33.524612,17648100
2020-07-09,34.180000,34.320000,33.810001,33.959999,33.396767,11247600
2020-07-10,33.889999,34.340000,33.549999,34.139999,33.573780,14193400
2020-07-13,34.450001,34.790001,33.799999,33.799999,33.239422,14199100
2020-07-14,33.830002,34.410000,33.500000,34.349998,33.780300,14317900
2020-07-15,34.700001,35.070000,34.389999,34.689999,34.114658,14782300
2020-07-16,34.410000,34.560001,34.080002,34.400002,33.829472,10078300
2020-07-17,34.500000,35.459999,34.470001,35.459999,34.871887,17077800
2020-07-20,35.490002,35.680000,34.869999,35.320000,34.734211,15869700
2020-07-21,35.750000,36.200001,35.270000,35.490002,34.901394,19201300
